"filename", "language", "Groovy", "Properties", "XML", "Dart", "YAML", "Markdown", "Swift", "C++", "JSON", "comment", "blank", "total"
"/Users/carltonaikins/Desktop/Home/Programming/Flutter/projects/notes_app/lib/src/ui/views/note_creation_view/components/content_text_field.dart", "Dart", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 5, 44
"/Users/carltonaikins/Desktop/Home/Programming/Flutter/projects/notes_app/lib/src/ui/views/note_creation_view/components/note_creation_view_header.dart", "Dart", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 4, 23
"/Users/carltonaikins/Desktop/Home/Programming/Flutter/projects/notes_app/lib/src/ui/views/note_creation_view/components/tag_text_field.dart", "Dart", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 7, 52
"/Users/carltonaikins/Desktop/Home/Programming/Flutter/projects/notes_app/lib/src/ui/views/note_creation_view/components/title_text_field.dart", "Dart", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 5, 46
"/Users/carltonaikins/Desktop/Home/Programming/Flutter/projects/notes_app/lib/src/ui/views/note_creation_view/note_creation_view.dart", "Dart", 0, 0, 0, 93, 0, 0, 0, 0, 0, 6, 13, 112
"/Users/carltonaikins/Desktop/Home/Programming/Flutter/projects/notes_app/lib/src/ui/views/profile_view/components/date_of_first_note_card.dart", "Dart", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 6, 58
"/Users/carltonaikins/Desktop/Home/Programming/Flutter/projects/notes_app/lib/src/ui/views/profile_view/components/profile_view_header.dart", "Dart", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 3, 27
"/Users/carltonaikins/Desktop/Home/Programming/Flutter/projects/notes_app/lib/src/ui/views/profile_view/components/total_characters_typed_card.dart", "Dart", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 3, 43
"/Users/carltonaikins/Desktop/Home/Programming/Flutter/projects/notes_app/lib/src/ui/views/profile_view/components/total_notes_created_card.dart", "Dart", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 3, 43
"/Users/carltonaikins/Desktop/Home/Programming/Flutter/projects/notes_app/lib/src/ui/views/profile_view/components/total_words_typed_card.dart", "Dart", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 3, 48
"/Users/carltonaikins/Desktop/Home/Programming/Flutter/projects/notes_app/lib/src/ui/views/profile_view/profile_view.dart", "Dart", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 4, 48
"/Users/carltonaikins/Desktop/Home/Programming/Flutter/projects/notes_app/lib/src/ui/views/tag_view/components/tag_view_header.dart", "Dart", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 4, 31
"/Users/carltonaikins/Desktop/Home/Programming/Flutter/projects/notes_app/lib/src/ui/views/tag_view/tag_view.dart", "Dart", 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 17, 116
"/Users/carltonaikins/Desktop/Home/Programming/Flutter/projects/notes_app/pubspec.yaml", "YAML", 0, 0, 0, 0, 23, 0, 0, 0, 0, 37, 16, 76
"Total", "-", 81, 8, 125, 1326, 23, 98, 12, 1, 145, 122, 244, 2185
